#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	500	-99060.53795518524	-88504.22556620525	188.48441909309156	0	--
2.0%	1000	-94229.41814978789	-80352.2638670628	247.77851083444315	34.4	4:05
3.0%	1500	-91656.54707192355	-76407.37271657554	272.2761191699405	34.4	4:03
4.0%	2000	-89985.98010186836	-74040.35718643558	284.7113046247437	34.3	4:01
5.0%	2500	-88509.25447741889	-72220.89860123703	290.83084908595896	34.3	3:59
6.0%	3000	-88480.96544539838	-71903.26065629316	295.9972139829008	34.2	3:57
7.0%	3500	-87716.35410057298	-71288.77891926374	293.3166290521594	34.2	3:54
8.0%	4000	-87661.37605500892	-71222.06095503972	293.5262469250761	34.2	3:52
9.0%	4500	-87847.85684585357	-71045.93550133402	300.0006316197683	34.1	3:50
10.0%	5000	-87722.03098758655	-71443.3136411851	290.6587518023974	34.1	3:47
11.0%	5500	-87637.09357362257	-70564.0868317734	304.84089891743116	34.1	3:45
12.0%	6000	-87956.4402185532	-70678.2417019251	308.50462646231324	34.2	3:42
13.0%	6500	-87422.354113196	-70480.07899338433	302.50666770781277	34.2	3:39
14.0%	7000	-87635.47119399576	-71057.58234860802	296.00050033330564	34.3	3:36
15.0%	7500	-87474.4636085048	-70902.79728050722	295.88939642387527	34.3	3:34
16.0%	8000	-87542.04856806189	-70659.13905367198	301.4466866045906	34.3	3:31
17.0%	8500	-87801.627944912	-70911.68714800614	301.5722311273051	34.3	3:29
18.0%	9000	-87489.71133272923	-70738.00078541163	299.10411088467816	34.3	3:26
19.0%	9500	-87945.9156829222	-70663.64412153498	308.5773512403491	34.3	3:23
20.0%	10000	-87612.58772604138	-70946.01646949368	297.58393706152407	34.3	3:21
21.0%	10500	-87720.91664996035	-71208.60582544834	294.8295956921222	34.4	3:18
22.0%	11000	-87350.20249339967	-70215.77218775061	305.9376251523932	34.4	3:16
23.0%	11500	-87367.40240752192	-69992.17641595074	310.23706545964785	34.4	3:13
24.0%	12000	-87518.3722580069	-70341.03386562261	306.70375498113236	34.4	3:10
25.0%	12500	-87851.93568420163	-71010.10270292012	300.71325941941404	34.4	3:08
26.0%	13000	-87903.71140458417	-70565.47868051834	309.57654554709023	34.5	3:05
27.0%	13500	-87792.02566198018	-70966.2872578156	300.4258885169007	34.5	3:02
28.0%	14000	-87620.26109682817	-70809.03331160174	300.1667994069484	34.5	3:00
29.0%	14500	-87738.9883822463	-70954.27771026411	299.6933326790138	34.5	2:57
30.0%	15000	-87857.59923891348	-71107.36148409691	299.0778139706824	34.5	2:55
31.0%	15500	-88107.08822742799	-71118.3596787701	303.3361001107515	34.6	2:52
32.0%	16000	-87729.85758502282	-70877.36265020014	300.90363007590423	34.6	2:50
33.0%	16500	-87362.52242590865	-70970.18231050404	292.68750207258336	34.6	2:47
34.0%	17000	-87633.49336201599	-71035.12376855452	296.3661869254623	34.6	2:44
35.0%	17500	-87726.79362666588	-70995.45469344313	298.74037289482237	34.6	2:42
36.0%	18000	-87749.90852735775	-71197.46308779792	295.5462047999306	34.6	2:39
37.0%	18500	-87689.76592803931	-70675.49438231745	303.7921738594333	34.6	2:37
38.0%	19000	-87874.15430831315	-70954.0549062577	302.11071719732826	34.6	2:34
39.0%	19500	-87528.53561006831	-70862.41632891659	297.57586697825855	34.6	2:32
40.0%	20000	-88114.5015117798	-71102.79347774308	303.7464020034096	34.6	2:29
41.0%	20500	-87871.01104167588	-71132.9178552775	298.86097102031414	34.6	2:27
42.0%	21000	-87104.40521586947	-70444.9741352357	297.45644823211404	34.6	2:24
43.0%	21500	-87571.55885539138	-70692.80918850133	301.3724119516025	34.6	2:22
44.0%	22000	-87934.06353342245	-71027.69854900475	301.86548726904977	34.6	2:19
45.0%	22500	-87571.56018592678	-70616.20934587537	302.7401365028617	34.6	2:17
46.0%	23000	-87412.08315285735	-70523.3062965999	301.55144880589484	34.6	2:14
47.0%	23500	-87375.02396858583	-70544.86229620365	300.50486658327156	34.6	2:12
48.0%	24000	-87425.78940165722	-70218.08820939784	307.24588697624733	34.6	2:09
49.0%	24500	-87515.62766349743	-70976.5643539648	295.3072650157085	34.6	2:07
50.0%	25000	-87992.29701734967	-71109.89292155465	301.4376622856101	34.6	2:04
51.0%	25500	-87845.98672902233	-70975.48959480197	301.2250618383263	34.6	2:02
52.0%	26000	-87251.10465177562	-70603.79004223613	297.2401069633533	34.6	1:59
53.0%	26500	-87545.49011790087	-70945.10247077973	296.40221955292986	34.6	1:57
54.0%	27000	-87926.63213346804	-71381.66571003983	295.41266593152545	34.6	1:54
55.0%	27500	-87604.16439503376	-70592.11585989736	303.75248169768236	34.6	1:52
56.0%	28000	-87834.96633817477	-70847.62581010489	303.3113168109988	34.6	1:49
57.0%	28500	-87489.75722390338	-70446.52843246116	304.3092094905347	34.6	1:47
58.0%	29000	-87759.7403030111	-71056.77494225986	298.2337588303816	34.6	1:44
59.0%	29500	-87844.7708923507	-71063.81750518843	299.62624583840557	34.6	1:42
60.0%	30000	-87308.59207721618	-70776.2160511034	295.1878626444772	34.6	1:39
61.0%	30500	-87823.0173107059	-70863.72937107817	302.81043396083817	34.6	1:37
62.0%	31000	-88159.4821264641	-71362.00289966408	299.9213169929313	34.6	1:34
63.0%	31500	-87783.15966152404	-71061.63770238258	298.56508946356513	34.6	1:32
64.0%	32000	-87718.34781759989	-71093.09774699765	296.8461415660727	34.6	1:29
65.0%	32500	-88070.21678321577	-71292.22227044568	299.5734147265145	34.6	1:27
66.0%	33000	-87914.0439187447	-71242.3051753828	297.67620325396473	34.6	1:24
67.0%	33500	-87823.01901245391	-70961.5653710528	301.06358902208166	34.6	1:22
68.0%	34000	-87620.08783480922	-70765.43730226588	300.9421185716218	34.6	1:19
69.0%	34500	-87496.55832173952	-70518.9095830926	303.13826856914636	34.7	1:17
70.0%	35000	-87717.78723943885	-70749.15097945847	302.97734951489156	34.7	1:14
71.0%	35500	-87520.57625332758	-70531.2892744723	303.34607095923343	34.7	1:12
72.0%	36000	-87545.11528143764	-71038.48215156818	294.72821966827445	34.7	1:09
73.0%	36500	-87676.29491299317	-70918.38611555396	299.21478149866863	34.7	1:07
