#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.0%	500	-164581.67674017017	-147474.08092104082	185.04977065933267	0	--
2.0%	1000	-156650.23088555422	-133675.57391660457	248.51271026213306	26.3	5:21
3.0%	1500	-151761.1223131965	-126374.98155699737	274.5972943554885	26.2	5:20
4.0%	2000	-148990.35193302255	-122550.09027557936	285.9995295429894	26	5:18
5.0%	2500	-147303.75385823136	-120527.8980891012	289.62959036853533	25.4	5:22
6.0%	3000	-146135.39458996852	-118915.51908656438	294.4324715485866	24.7	5:28
7.0%	3500	-146337.2310858774	-118729.52328535148	298.62758338051435	24.2	5:32
8.0%	4000	-145010.4385412268	-117120.67672037098	301.6785107187221	23.8	5:33
9.0%	4500	-144798.50327536024	-116701.8163036676	303.9167826600772	23.6	5:33
10.0%	5000	-145113.47816758722	-116970.94214283142	304.4127235768481	23.4	5:32
11.0%	5500	-144984.3238949495	-117369.44401869412	298.7051624268585	23.2	5:31
12.0%	6000	-145398.7967582554	-117640.847487683	300.25271819604086	23.1	5:29
13.0%	6500	-145273.71464650545	-116850.93354984962	307.44408384697573	23	5:26
14.0%	7000	-145788.14112775898	-117648.50789756888	304.3813245729008	22.9	5:23
15.0%	7500	-145933.68818157155	-118049.52540618104	301.6179468563173	22.8	5:21
16.0%	8000	-145306.46068405712	-118034.77120165541	294.9929339906398	22.8	5:18
17.0%	8500	-145378.23458990315	-117737.72915603	298.9823494501154	22.7	5:15
18.0%	9000	-145527.9261461793	-117569.29155835904	302.42349498572185	22.7	5:12
19.0%	9500	-145689.75418786178	-117844.89325295085	301.19282595422635	22.7	5:08
20.0%	10000	-145401.73557067773	-117853.11215796787	297.9884782408731	22.6	5:05
21.0%	10500	-145142.23150487884	-117577.12407006716	298.16678292738413	22.6	5:02
22.0%	11000	-145513.2300424005	-117779.1500183588	299.9945288722448	22.5	4:58
23.0%	11500	-145456.73712102123	-118212.75809145052	294.69319503284237	22.5	4:55
24.0%	12000	-146043.8878642106	-117957.53986481534	303.8049478661817	22.5	4:51
25.0%	12500	-145363.1962202281	-117382.3609210051	302.6636360667356	22.5	4:48
26.0%	13000	-145016.67099817013	-117177.91552355849	301.12678429412995	22.5	4:44
27.0%	13500	-144701.82987401081	-116984.90945406877	299.80891653741895	22.5	4:40
28.0%	14000	-145390.79778827442	-117409.17604657207	302.67214287283383	22.5	4:36
29.0%	14500	-145000.88398987227	-117447.50039883265	298.0399682291528	22.5	4:33
30.0%	15000	-145585.49088599623	-117868.02378694939	299.8148298664475	22.5	4:29
31.0%	15500	-144802.24968365242	-117301.00619627348	297.47597815558726	22.4	4:25
32.0%	16000	-145377.58313170052	-117766.30691369562	298.66618230715983	22.5	4:21
33.0%	16500	-145941.74670844636	-118459.47892569473	297.27072138973256	22.5	4:17
34.0%	17000	-145592.44029967446	-118062.83160959411	297.7827994243439	22.5	4:13
35.0%	17500	-145407.72539954307	-117465.90145271021	302.2416573217833	22.5	4:10
36.0%	18000	-145072.5130633605	-117410.68975474835	299.2129410465677	22.5	4:06
37.0%	18500	-145153.08344655196	-117202.66908517187	302.3345782826618	22.5	4:02
38.0%	19000	-145159.68072421217	-117435.97380382905	299.88232488558646	22.5	3:58
39.0%	19500	-145744.55607987952	-118056.97619391738	299.49154528657766	22.5	3:54
40.0%	20000	-145198.15828208852	-117336.3659563995	301.37596974681736	22.5	3:50
41.0%	20500	-144922.323449879	-117107.33997754836	300.8696468437998	22.5	3:47
42.0%	21000	-144816.2534675202	-117013.86053684977	300.7334572312246	22.5	3:43
43.0%	21500	-145452.80942847297	-117356.30996454332	303.91475442250925	22.5	3:39
44.0%	22000	-145389.25180011502	-117535.80420179706	301.2857063396996	22.5	3:35
45.0%	22500	-145689.08628493032	-117955.37176554148	299.9905752745036	22.5	3:31
46.0%	23000	-145119.94892744476	-117810.20399946903	295.40457286440466	22.4	3:27
47.0%	23500	-145770.2639636737	-117858.69547289168	301.914389524333	22.4	3:24
48.0%	24000	-145723.95968665124	-117869.80324670742	301.29337375139704	22.4	3:20
49.0%	24500	-145421.83507327363	-117691.13121970667	299.9580094466829	22.4	3:16
50.0%	25000	-145302.84105778337	-117999.20145726368	295.3385326412496	22.4	3:12
51.0%	25500	-144871.7769184196	-117357.48203500957	297.61715274656257	22.4	3:08
52.0%	26000	-144836.23771856388	-117035.18022426928	300.71901205741466	22.4	3:04
53.0%	26500	-145694.01685340086	-117653.29511885454	303.31141680924026	22.4	3:00
54.0%	27000	-145544.12814143748	-117871.16958406754	299.3333890189568	22.4	2:57
55.0%	27500	-145563.23572020105	-117517.84566574085	303.36191318164475	22.4	2:53
56.0%	28000	-144953.03378107955	-117420.95297212116	297.80953988725054	22.4	2:49
57.0%	28500	-145755.12105697213	-118452.15745736286	295.331220461633	22.4	2:45
58.0%	29000	-145404.90997554667	-118228.2754931674	293.96474124280167	22.4	2:41
59.0%	29500	-145854.52098637915	-118176.50758752091	299.3880663253426	22.4	2:37
60.0%	30000	-145929.71939906763	-118397.63640727931	297.80956349852715	22.4	2:34
61.0%	30500	-145703.70497619343	-118266.3903512093	296.7844712103832	22.4	2:30
62.0%	31000	-145542.2883971977	-117872.64788311365	299.2974983446864	22.4	2:26
63.0%	31500	-145305.4407039307	-117690.20792019399	298.708979763273	22.4	2:22
64.0%	32000	-145208.19396418874	-117433.06152047412	300.4385854729386	22.4	2:18
65.0%	32500	-145610.82835714618	-117398.96564621877	305.16261780583636	22.4	2:14
66.0%	33000	-145285.10783750456	-117712.17501877746	298.2514286902475	22.4	2:10
67.0%	33500	-146056.77447080164	-118177.0695100082	301.56972748186223	22.4	2:07
